group,note_id,llm_likelihood,signal_type,primary_signal
2026_review,wzlX4EaOuQ,62,structure,"Fluent, symmetric strengths/weaknesses scaffolding with generic critiques ('qualitative analysis is somewhat limited', 'could benefit from more diverse task typ"
2026_meta,lNOhwhiX4l,72,substance,"Fluent, symmetric meta-summary of strengths/weaknesses with generic phrasing ('principled, practical, and well justified') and no concrete specifics; though the"
2024_review,audv7xD6cs,26,substance,"Concrete, idiosyncratic criticisms (fairness of absorbing existing benchmarks, multi-image input gap) with typo 'pf' and 'comprehensibe'/'exisiting' misspelling"
2026_review,jO2odJ0Yqc,22,substance,"Specific technical critiques (β=1 assumption, -1/1 vs 0/1 spikes, Xavier vs Kaiming) plus a reviewer-supplied citation indicate genuine domain engagement"
2024_review,CIuSi9xFRG,13,substance,"Specific engagement with Table 1, named algorithms, a reviewer-supplied citation, non-native phrasing ('may the author(s) also provide'), and an appended post-r"
2026_review,b3piaoWg1p,25,substance,"Reviewer supplies a specific arXiv citation and voices personal doubt ('I'm afraid similar work may already exist'), with uneven, idiosyncratic phrasing"
2026_review,zLdgFx0c9l,22,substance,"Reviewer supplies specific citations and a nuanced technical objection about the universal approximation statement; idiosyncratic phrasing and typos ('and and',"
2024_review,u4pm8v6N7C,62,substance,"Weaknesses are uniformly phrased 'Missing a discussion about X' with no concrete paper specifics; symmetric bulleted scaffolding, though the question cites a sp"
2026_review,oZ1HBUorUD,88,substance,"Fluent symmetric strengths/weaknesses scaffolding with generic, abstract-restating content; no figure/equation/section references; uniform bullet rhythm and pol"
2026_review,iDx5b24BSk,8,substance,"Highly specific engagement: line numbers, catches duplicate/hallucinated citation, idiosyncratic typos ('Sec 3.2 does really show', 'How doe'), personal voice a"
2026_review,utPXbsiJAY,58,structure,"Fluent symmetric strengths/weaknesses scaffolding with generic critiques (novelty/experiments/comparison), though the caught 'Appendix ??' typo at line 263 and "
2024_review,ItMb4N6wVd,25,substance,"Specific engagement (equation 1, Algorithms 1/2, Section 8 discussion) plus an unfinished sentence in weakness 3 ('It is encouraged that the authors') indicatin"
2026_meta,9i9Jk1Dg5Q,72,structure,"This is a meta-review/AC summary with highly uniform structure and generic hedged phrasing ('score likely unchanged'), symmetric addressed/outstanding scaffoldi"
2026_review,FyeGmGSYlk,72,structure,"Highly symmetric, uniformly fluent structure with bolded generic headings ('Framing misalignment', 'Conceptual overreach') and balanced strengths list; specific"
2026_meta,Kvy8xBBpci,72,structure,"This is an AC-style meta-summary; it names specific reviewers, datasets (ChestX-ray8, MS-COCO, IN512) and unresolved items, which is concrete, but the uniformly"
2026_review,miLQgCKUpt,38,substance,"Fluent symmetric structure but with a substantive, paper-specific critique about likelihood maximization overfitting and application-dependent decoding needs"
2026_review,E0dGAUhMhF,5,substance,"Specific technical critique of Lemma 3.1, line-number typos, reviewer-supplied citations, and idiosyncratic argumentative voice"
2026_review,3B9HMDU7ea,4,substance,"Highly specific technical engagement (Theorem A.1 sub-Gaussian vs Massart/Tsybakov noise, curly R notation, undefined err(h)), reviewer-supplied literature cont"
2026_review,gSdbDMjGTu,8,substance,"Specific concrete details: broken '??' reference at lines 407-408, named baselines and supplied citations, blunt uneven tone"
2024_review,aSXy8B5nkm,4,substance,Terse dismissive voice with direct quotes from the paper and pointed skeptical questions; asymmetric strengths/weaknesses (one-line strength)
2026_review,wy1zMqgaG2,83,substance,"Fluent, uniformly polished prose with generic symmetric strengths/weaknesses and no concrete specifics (no equation, figure, or section references); strengths s"
2024_review,l8lUhz28ar,10,substance,"Specific engagement (Native American subgroup drop, quoted sentence from paper, reviewer-supplied citations Tomasev/Hyland, landmarking suggestion) with idiosyn"
2026_meta,O4hKDROD66,45,structure,"This is an AC meta-review, not a reviewer review; it is fluent and generically structured with a long comma-list of concerns and no paper-specific detail, but t"
2024_review,usYPY246BB,5,substance,"Highly specific engagement (figure numbers, quoted sentences, Rademacher vs binary code inconsistency, personal voice and hedged opinions)"
