platform,domain,audited_at,http_status,seed_list_count,business_model,paid_link_rel,free_link_rel,rel_inversion,paid_passes_pagerank,guarantees_dr,guarantees_dr_quote,badge_required_free,claims_owned_network,owner_entity,network_id_ga,network_id_other,price_usd,claimed_link_count,price_per_link,server_rendered_words,js_required,ai_crawlers_allowed,claims_unsubmittable_platforms,dark_patterns,evidence_file,notes
1000.tools,1000.tools,2026-08-31,200,1,destination,unknown,unknown,False,False,False,,False,False,,,ip:216.128.135.63,unknown,unknown,,904,False,True,False,,raw/1000.tools__*.html (not committed; kept locally),"Privacy and Terms pages return 404. Homepage links to listed tools go through internal /<slug> profile pages rather than direct external hrefs, so no gradable outbound rel on the fetched pages. Site text says '6 spots left'; no dollar figure found anywhere in fetched pages."
"Practical AI Tools for Automation, Writing, and Design",acidtools.com,2026-08-31,200,1,destination,unknown,dofollow,False,False,False,,False,False,Acid Tools,,ip:104.21.59.11,unknown,unknown,,2498,False,True,False,,raw/acidtools.com__*.html (not committed; kept locally),"Both /pricing and /submit require login and return no fee info in static HTML. 'Featured AI Tools' and 'Latest AI Tools' sections both use rel=noopener noreferrer (dofollow); no visible signal distinguishing which listings, if any, were paid. Page carries a third-party ad for submitsaas.com (rel=sponsored nofollow)."
Affonso,affonso.io,2026-08-31,200,1,unclear,unknown,unknown,False,False,False,,False,False,ZASolution,,ip:216.150.16.1;favicon:9eab923ae931670d,15,unknown,,1511,False,True,False,,raw/affonso.io__*.html (not committed; kept locally),"Primary product is affiliate-program management SaaS operated by ZASolution, not a startup/tool directory itself; it links to a separate marketplace.affonso.io subdomain (not captured) described as an 'Affiliate Network'. FAQ text states the Launch plan starts at $15/mo; site states 'No, we believe... should not' offer a free plan."
AI Agent Store,aiagentstore.ai,2026-08-31,200,1,destination,unknown,unknown,False,False,False,,False,False,MB Skydis,,ip:172.67.212.15,unknown,unknown,,2982,False,True,False,,raw/aiagentstore.ai__*.html (not committed; kept locally),"Footer 'Useful Products' section links to other MB Skydis products (trafficpaywall.com, autopod.co, podgo.app, marketgapideas.com, cantfindjob.com, visualfieldtest.com, rewriteai.ai, skydis.com), all rel=nofollow noopener noreferrer, and to matching internal /ai-agent/ profile pages for the same products. No outbound links to third-party listed agents were present in the fetched home/pricing/submit pages (those live on unfetched /ai-agent/ or browse pages). /submit and /privacy return 404."
Best AI Tools Directory 2025,aidir.wiki,2026-08-31,200,1,destination,unknown,unknown,False,False,False,,False,False,AIDir,,ip:2.59.170.20,15,unknown,,741,False,False,False,,raw/aidir.wiki__*.html (not committed; kept locally),"Submit page states: 'Submit your tool for just $15 and get listed in our directory with a blue verification checkmark... 24-hour approval', one-time payment, no free tier apparent. Footer lists other sites (Altern, Productivity Directory, Best of AI, AI For Developers) under 'Friends', not claimed as owned. Outbound tool links route through internal /tools/ pages; privacy page returns empty/404."
AI Tools For Business,aimarketing.directory,2026-08-31,200,1,destination,unknown,unknown,False,False,False,,False,False,,G-68BQBNYS11,ip:52.223.52.2,unknown,unknown,,3143,False,True,False,,raw/aimarketing.directory__*.html (not committed; kept locally),"Submit page offers a fast-track add-on ('#1 spot on directory for 5 days ($100 value)', newsletter feature '($50 value)') without stating the price charged for it; standard listing takes up to 48 hours if it meets quality standards. Outbound tool links route through internal /tools/ pages. /pricing, /privacy, /terms all return 404 (Framer 'Page Not Found')."
AI Parabellum,aiparabellum.com,2026-08-31,200,1,destination,nofollow,unknown,False,False,False,,False,False,,G-PTNSLM24DH,ip:172.67.68.83,unknown,unknown,,659,False,True,False,,raw/aiparabellum.com__*.html (not committed; kept locally),"Terms/FAQ state submission requires payment, with a free automated pre-check and 'full refund if not approved' after 24h manual review; no specific dollar amount appears in fetched pages. All outbound tool links in the homepage 'Featured Tools' listing carry rel=noopener nofollow. Site nav has a separate 'Free Index' page not fetched."
"Trending AI Tools, New Releases, and Fast-Moving Products",aitechviral.com,2026-08-31,200,1,destination,unknown,unknown,False,False,False,,False,False,AI Tech Viral,,ip:172.67.174.39,unknown,unknown,,1278,False,True,False,,raw/aitechviral.com__*.html (not committed; kept locally),"Tool listings, page layout, and ad banner (submitsaas.com, rel=sponsored nofollow) closely match acidtools.com, fetched separately in this audit; registrant uses a WHOIS privacy proxy (WITHHELD FOR PRIVACY LLC) as with acidtools.com. 'Featured' section links are rel=noopener noreferrer (dofollow); 'Explore All AI Tools' section is mostly dofollow with two rel=nofollow exceptions, so free/paid tiers could not be cleanly separated. /pricing and /submit require login."
aitools.fyi,aitools.fyi,2026-08-31,200,1,destination,dofollow,dofollow,False,True,False,,False,False,Rishit Patel,,ip:172.67.137.94;favicon:c726dddd5f950ae8,unknown,unknown,,600,False,True,False,,raw/aitools.fyi__*.html (not committed; kept locally),"The fetched /submit page resolves to boostmytool.com's 'Boost My Tool Submission' form, offering to submit a tool to 'up to 3 high-quality directories' for a fee (amount rendered via JS, not present in static HTML) plus optional free bonus directories. Home-page tool links (including one explicitly utm_medium=sponsorship) all carry rel='' (dofollow) with no observed nofollow/sponsored attribute anywhere on the page."
AI Tools Directory,aitools.inc,2026-08-31,200,1,destination,unknown,unknown,False,False,False,,False,False,Fabric AI,,ip:172.67.68.177;favicon:a8dc8823a677d2de,129,unknown,,950,False,True,False,,raw/aitools.inc__*.html (not committed; kept locally),"Submit page lists two tiers: Free Listing ($0/mo, 30-90 day queue, no guaranteed placement) and Fast Lane ($129 one-time, 24-48hr guaranteed placement or full refund, featured across category pages and newsletter). Footer 'Company' section names Fabric AI (heyfabric.ai) as operator and links The Recap AI newsletter at recap.aitools.inc. Outbound tool links route through internal /tools/ pages, not directly observable in fetched HTML."
Explore AI Tool Trek,aitooltrek.com,2026-08-31,200,1,destination,dofollow,dofollow,False,True,False,,True,False,Registrant Street: DATA REDACTED,G-03BV3YQ71R,ip:104.21.52.14;favicon:ff5f655c3f057ca3,19.9,5,3.98,1224,False,True,False,,raw/aitooltrek.com__*.html (not committed; kept locally),"Free listing requires backlink to aitooltrek.com. Featured/Fast Track grid links carry rel=noreferrer (dofollow); a separate 'Sponsor' banner ad link carries rel=nofollow. Own DR (52) is shown as a credibility badge, not a guarantee for submitters."
AI With Me: Discover thousands of AI Tools,aiwith.me,2026-08-31,200,1,destination,dofollow,unknown,False,True,True,Get DR 60+ backlinks,False,False,AI With Me,G-8MZMR9TPQK,ip:104.21.40.53;favicon:2f27089a8fd561d4,19.9,unknown,,3170,False,True,False,placeholder_text_in_prod,raw/aiwith.me__*.html (not committed; kept locally),"Paid tiers (One-time $19.9, Unlimited $29.9/mo) state the outbound link is dofollow; SPONSORED-tagged home entries carry rel=noopener dofollow. Terms page contains literal placeholder text '[Your Country/State]'."
AI Tools Directory &amp; List of Best Free AI by Category (Top 10),aixploria.com,2026-08-31,200,1,destination,nofollow,unknown,False,False,False,,False,False,AIxploria,G-FQ6DJYP4K1,ip:172.67.70.54;favicon:87a27dc1f0170d18,unknown,unknown,,2672,False,True,False,,raw/aixploria.com__*.html (not committed; kept locally),"Pricing and submit pages returned 404/no plan details. Featured home-page listings carry rel=nofollow noopener. Organic 'Latest AI' entries link to internal review pages first, so their outbound rel is not directly observable."
AlternativeTo,alternativeto.net,2026-08-31,200,2,destination,sponsored,dofollow,False,False,False,,False,False,Registrant of alternativeto.net,GTM-N56PL75,ip:172.66.43.172;favicon:63d459899bd7595d,unknown,unknown,,2166,False,True,False,,raw/alternativeto.net__*.html (not committed; kept locally),"Home-page 'Official Partner' ad (Proton VPN) links carry rel=sponsored, labeled as 'Official Partner'. Organic app-listing links carry rel=noreferrer/noopener noreferrer (dofollow). Pricing, submit, privacy, and terms pages were blocked by an anti-bot challenge page."
Aura++,auraplusplus.com,2026-08-31,200,2,destination,sponsored,unknown,False,False,True,Guaranteed Dofollow Backlink (DR 72),True,False,Aura++,G-R4TPTBDLCJ,ip:216.150.16.1;favicon:3eb96cff061232b0,29,11,2.6364,1866,False,True,False,,raw/auraplusplus.com__*.html (not committed; kept locally),Free tier's dofollow link requires top-3 ranking or the site badge. Premium/Premium Plus state 'Guaranteed Dofollow Backlink (DR 72)'. DR Booster add-on ($179) claims '11 permanent dofollow backlinks across the full partner network'; no owned sites named by name.
Discover and get early access to tomorrow&#39;s startups,betalist.com,2026-08-31,200,2,destination,none_observed,none_observed,False,False,False,,False,False,BetaList,GTM-KDTKCJPW,ip:104.26.4.46,unknown,unknown,,1225,False,True,False,,raw/betalist.com__*.html (not committed; kept locally),"Home page listings link to internal detail pages only; no direct outbound links to listed startups were found (links.json shows 3 unrelated nav links). Pricing page 404s; submit redirects to a login form. Privacy policy names 'BetaList, 10 Petain Road, Singapore' as Owner/Data Controller."
Dev Hunt,devhunt.org,2026-08-31,200,2,unclear,unknown,unknown,False,False,False,,False,False,,,ip:76.76.21.21;favicon:04882058d132ea9f,unknown,unknown,,10,True,True,False,,raw/devhunt.org__*.html (not committed; kept locally),"All fetched pages (home/pricing/submit/privacy/terms) render almost no server-side text (under 50 chars each) and links.json is empty for every page, consistent with a fully client-side-rendered app. Business model and link rel are not determinable from these snapshots."
EarlyHunt,earlyhunt.com,2026-08-31,200,2,destination,dofollow,nofollow,True,True,False,,True,False,EarlyHunt,G-SM8JRQKNVH,ip:216.150.16.193;favicon:858c2aa2db09b7dd,19,unknown,,2343,False,True,False,,raw/earlyhunt.com__*.html (not committed; kept locally),"Pricing page states verbatim: Free Launch = 'Nofollow links by default' + 'EarlyHunt badge required on website'; Premium ($19 one-time) = 'Guaranteed dofollow backlink', 'No badge required'. Confirmed in actual homepage link markup: some outbound project links carry rel=""noopener noreferrer"" (dofollow) and others rel=""nofollow noopener noreferrer"", consistent with the described free/premium split. Footer links to postingdude.com ('Posting Dude') and to an auraplusplus.com-branded Bluesky handle, corroborating the previously-confirmed six-platform PostingDude network."
